pe_type,window,params_M,kodak_CPSNR,kodak_SSIM,mcm_CPSNR,mcm_SSIM
none,4,1.2339,41.3283,0.9873,37.5717,0.9615
none,8,1.2339,41.6951,0.9880,37.8348,0.9628
none,16,1.2339,41.9406,0.9885,38.0073,0.9640
learnable,4,1.2358,41.3052,0.9873,37.5126,0.9611
learnable,8,1.2416,41.6475,0.9879,37.8163,0.9629
learnable,16,1.2646,41.8768,0.9884,37.9716,0.9636
sinusoidal2d,4,1.2339,41.0525,0.9868,37.2747,0.9599
sinusoidal2d,8,1.2339,41.4926,0.9876,37.6088,0.9616
sinusoidal2d,16,1.2339,41.8155,0.9883,37.8263,0.9626
rope2d,4,1.2339,41.4631,0.9875,37.6009,0.9617
rope2d,8,1.2339,41.8383,0.9882,37.8892,0.9634
rope2d,16,1.2339,42.3790,0.9891,38.2747,0.9654
